240,N Illinois,0.456,29,323,240
241,UNLV,0.455,123,282,242
242,Norfolk St,0.455,222,328,243
243,Charlotte,0.455,1,247,241
244,Campbell,0.455,230,351,244
245,AR Lit Rock,0.454,46,337,246
246,Wagner,0.454,27,301,245
247,Pepperdine,0.453,82,295,247
248,Nicholls St,0.452,6,334,248
249,E Kentucky,0.452,71,315,249
250,Cleveland St,0.452,58,288,250
251,SE Louisiana,0.451,188,334,251
252,IL-Chicago,0.451,60,331,252
253,Air Force,0.450,49,293,253
254,Youngs St,0.450,69,325,254
255,Montana St,0.449,160,333,255
256,Missouri,0.448,80,279,256
257,James Mad,0.448,80,344,257
258,St Fran (PA),0.448,135,334,258
259,WI-Milwkee,0.446,123,319,259
260,Kennesaw St,0.446,85,343,260
261,Austin Peay,0.445,56,298,261
262,Columbia,0.445,75,309,262
263,Manhattan,0.444,153,326,263
264,TX-San Ant,0.443,26,349,264
265,E Illinois,0.443,139,327,265
266,Duquesne,0.441,148,313,266
267,Army,0.440,212,316,267
268,Portland St,0.439,115,350,268
269,CS Fullerton,0.439,126,344,269
270,Cornell,0.438,55,315,270
271,W Carolina,0.438,82,273,271
272,Quinnipiac,0.438,192,348,272
273,F Dickinson,0.436,143,327,273
274,SE Missouri,0.436,147,339,274
275,Marist,0.435,43,344,275
276,TN Tech,0.435,151,348,276
277,Hampton,0.435,209,343,277
278,Maryland ES,0.434,74,345,279
279,Savannah St,0.434,54,344,278
280,Seattle,0.434,98,320,280
281,Oregon St,0.434,6,346,281
282,Fla Atlantic,0.433,8,335,282
283,Niagara,0.433,29,337,284
284,Citadel,0.433,32,325,285
285,Brown,0.433,20,317,283
286,Bryant,0.432,59,338,286
287,N Colorado,0.431,115,342,287
288,Detroit,0.431,58,331,288
289,Abl Christian,0.431,195,347,289
290,NJIT,0.430,103,301,290
291,Jacksonville,0.430,36,311,291
292,Oral Roberts,0.430,40,299,292
293,Colgate,0.429,46,341,294
294,Tulane,0.428,87,340,293
295,Cal Poly,0.428,124,332,296
296,LA Monroe,0.428,125,351,295
297,Sac State,0.427,106,346,297
298,Hawaii,0.427,2,325,300
299,Charl South,0.427,65,351,299
300,App State,0.427,144,328,298
301,Miami (OH),0.426,127,322,301
302,S Car State,0.426,62,309,304
303,Incar Word,0.426,139,347,303
304,Sacred Hrt,0.426,13,318,302
305,Dartmouth,0.426,21,348,306
306,NW State,0.425,53,344,307
307,Prairie View,0.425,5,343,305
308,Drexel,0.424,107,312,308
309,Mass Lowell,0.424,17,327,309
310,American,0.423,18,346,310
311,Central Ark,0.423,182,342,311
312,Binghamton,0.422,25,329,312
313,Cal St Nrdge,0.420,16,339,313
314,Drake,0.419,46,349,314
315,McNeese St,0.419,139,349,315
316,S Florida,0.416,196,339,316
317,Chicago St,0.415,139,351,317
318,Grambling St,0.415,111,350,319
319,TX-Pan Am,0.415,172,348,318
320,Southern,0.414,96,322,320
321,Lafayette,0.414,29,328,321
322,Maine,0.412,71,328,322
323,Jackson St,0.412,202,327,323
324,UCSB,0.411,72,329,324
325,W Illinois,0.409,81,350,325
326,Morgan St,0.407,248,346,326
327,Stetson,0.406,189,337,327
328,Hartford,0.405,51,349,328
329,VA Military,0.403,185,349,329
330,UC Riverside,0.399,176,342,330
331,S Mississippi,0.396,199,350,331
332,Delaware St,0.395,71,350,332
333,SIU Edward,0.394,1,334,333
334,Miss Val St,0.394,75,345,334
335,N Arizona,0.392,3,349,335
336,Coppin State,0.390,52,351,336
337,Florida Intl,0.387,176,347,338
338,Howard,0.387,22,345,337
339,North Texas,0.386,226,339,339
340,Idaho State,0.379,86,340,340
341,S Utah,0.378,53,349,341
342,Alabama St,0.373,145,348,342
343,Longwood,0.372,56,351,343
344,Central Conn,0.365,115,350,344
345,Ark Pine Bl,0.365,88,349,345
346,Presbyterian,0.364,20,347,346
347,Beth-Cook,0.363,32,350,347
348,St Fran (NY),0.345,108,348,348
349,Florida A&M,0.335,179,350,349
350,NC A&T,0.316,131,351,350
351,Alab A&M,0.315,314,351,351
