149,N Hampshire,+0.9,-6.7,-33.0,+4.5,-1.6,-0.8
150,Jksnville St,+0.9,+13.3,+11.0,-1.8,+1.8,-6.3
151,U Penn,+0.9,-2.3,-8.0,-0.7,+2.0,-4.0
152,Auburn,+0.8,+2.3,-3.0,+6.4,-4.1,-7.4
153,Canisius,+0.8,-2.0,-3.0,+2.5,-0.4,-1.8
154,SE Louisiana,+0.8,-4.3,-12.0,+10.5,-5.7,-6.1
155,Wagner,+0.8,-1.0,-1.0,+1.4,+0.1,+4.7
156,LIU-Brooklyn,+0.7,+2.3,-1.0,+1.6,+0.2,-0.8
157,Santa Clara,+0.7,-5.3,-9.0,+5.9,-4.6,-6.5
158,UAB,+0.7,-7.7,-12.0,+9.7,-7.3,+6.6
159,Connecticut,+0.6,+3.3,-10.0,+4.2,-2.2,+9.6
160,Wm & Mary,+0.6,-0.7,-11.0,+13.3,-8.4,+4.3
161,Wyoming,+0.6,-1.7,-15.0,+4.5,-3.4,-2.1
162,Liberty,+0.6,-2.0,-4.0,+3.1,-1.9,-6.7
163,UC Davis,+0.5,+5.3,+3.0,+11.1,-3.7,-4.3
164,Utah Val St,+0.5,+6.0,-1.0,+1.1,+0.1,-6.0
165,Illinois,+0.5,-6.7,-20.0,+6.3,-5.8,-2.6
166,Utah State,+0.4,+1.7,-14.0,+8.5,-6.6,+0.6
167,Geo Wshgtn,+0.4,+3.3,-3.0,+6.0,-4.8,+7.2
168,Stony Brook,+0.4,-4.0,-7.0,+3.2,-2.5,+9.0
169,WI-Grn Bay,+0.4,-4.7,-9.0,+4.1,-1.8,+1.8
170,Wofford,+0.4,-0.3,-4.0,+10.8,-4.8,-1.4
171,Siena,+0.2,+5.0,-1.0,+3.9,-2.3,+4.9
172,Northeastrn,+0.1,-12.0,-28.0,+6.9,-3.6,+0.2
173,Idaho,+0.1,+2.7,-5.0,+4.5,-3.0,+0.7
174,GA Southern,0.0,-9.0,-20.0,+3.2,-1.8,-2.5
175,U Mass,-0.0,-3.3,-13.0,+4.1,-4.9,-2.3
176,Rider,-0.1,0.0,-18.0,+0.8,-0.6,-1.4
177,Navy,-0.2,-6.7,-5.0,+1.7,-2.0,+2.1
178,Mercer,-0.2,+4.0,-7.0,+2.8,-2.5,+1.4
179,W Michigan,-0.2,+3.0,-3.0,+9.1,-7.9,-2.1
180,Temple,-0.2,+3.7,-11.0,+3.7,-4.2,+1.1
181,Mt St Marys,-0.3,+7.3,+10.0,+5.2,-4.6,-1.9
182,Montana St,-0.3,-0.7,-4.0,+3.1,-3.6,-1.6
183,TN Martin,-0.3,+0.7,-11.0,+5.3,-4.3,-0.8
184,E Illinois,-0.3,-2.3,-19.0,-0.2,-0.4,-4.8
185,St Fran (PA),-0.3,+4.3,-10.0,+3.6,-3.2,-3.5
186,E Michigan,-0.3,-6.0,-17.0,+3.7,-3.2,-1.4
187,Portland St,-0.4,-6.3,-23.0,+6.7,-4.4,-2.2
188,Hofstra,-0.5,+4.7,-5.0,+2.2,-2.3,+4.2
189,Ste F Austin,-0.5,+5.3,-8.0,+8.2,-5.8,+14.7
190,CS Fullerton,-0.6,+6.3,-2.0,+3.1,-3.6,-6.4
191,TX El Paso,-0.6,-3.0,-26.0,+0.9,-2.0,+1.1
192,Fairfield,-0.8,-1.7,-12.0,+1.5,-2.5,-0.7
193,Evansville,-1.0,+0.7,-11.0,+5.7,-7.2,+8.5
194,Penn State,-1.0,-9.7,-27.0,+4.2,-5.9,-3.8
195,GA Tech,-1.0,-7.3,-2.0,+6.7,-11.7,+2.6
196,La Salle,-1.0,-4.0,-9.0,+5.6,-7.7,-10.7
197,S Dakota St,-1.1,+5.0,+2.0,+6.2,-5.5,+6.7
198,Neb Omaha,-1.1,+10.0,-2.0,+2.2,-3.0,+1.8
199,Oklahoma,-1.2,-8.0,-19.0,+3.1,-5.2,+8.6
200,Sam Hous St,-1.2,0.0,-12.0,+6.5,-6.3,+0.4
201,N Illinois,-1.2,-7.3,-3.0,-0.9,-1.6,+0.7
202,Hawaii,-1.3,-9.7,-11.0,+0.8,-4.7,+10.1
203,Alcorn State,-1.4,+7.3,-3.0,+7.7,-6.2,-6.1
204,S Illinois,-1.6,-2.0,-13.0,+2.6,-5.8,+4.1
205,SE Missouri,-1.6,-9.7,-23.0,+7.6,-7.4,-12.6
206,SC Upstate,-1.7,-3.7,-2.0,-0.6,-2.4,-9.4
207,Army,-1.7,-4.7,-16.0,+2.1,-5.9,+0.8
208,Jacksonville,-1.8,-6.3,-3.0,-4.7,-0.4,-3.2
209,Morehead St,-1.8,-3.3,-6.0,+5.2,-6.9,+2.7
210,Holy Cross,-1.8,-3.0,-7.0,+3.9,-6.1,-5.1
211,Texas,-1.8,-4.0,-10.0,+4.4,-8.3,+3.1
212,Pittsburgh,-1.8,-11.7,-12.0,+0.1,-3.8,+6.7
213,E Carolina,-1.8,-5.0,-4.0,+5.0,-9.1,-3.6
214,St Johns,-1.9,-17.0,-41.0,+6.4,-8.1,-9.8
215,NC State,-2.0,-11.0,-14.0,+6.4,-12.8,+0.8
216,Loyola Mymt,-2.1,-1.7,-8.0,+1.8,-6.8,-4.5
217,Stanford,-2.2,-12.3,-10.0,+3.6,-7.3,-2.3
218,Houston Bap,-2.2,+6.3,-4.0,+8.0,-8.6,-5.1
219,AR Lit Rock,-2.3,-1.7,-7.0,+0.2,-4.2,+8.9
220,Kennesaw St,-2.5,-7.0,-12.0,+2.4,-5.3,-7.0
221,Rutgers,-2.5,-3.3,-22.0,+3.1,-7.5,-13.5
222,Columbia,-2.5,-7.0,-4.0,+0.1,-4.8,+6.0
223,IL-Chicago,-2.5,-11.7,-6.0,+0.2,-4.8,-13.7
224,IUPUI,-2.7,-5.3,-28.0,+3.5,-5.8,-6.0
225,High Point,-2.8,-9.3,-36.0,+0.5,-5.6,+3.7
226,Southern,-2.8,-9.7,-22.0,+3.3,-6.9,+1.7
227,Tulsa,-2.8,-8.3,-19.0,+2.7,-7.7,+4.0
228,Hampton,-2.9,+3.0,-2.0,+2.5,-6.3,-0.3
229,Coastal Car,-2.9,-4.7,-23.0,+3.5,-8.9,+2.4
230,W Kentucky,-2.9,+4.7,-4.0,+3.9,-8.2,-0.4
231,Campbell,-3.0,+0.3,-17.0,-3.8,-2.4,-4.4
232,Arizona St,-3.1,-8.7,-23.0,+3.1,-8.9,-0.7
233,Loyola-MD,-3.1,-1.0,-4.0,+2.2,-7.2,-5.7
234,Central Mich,-3.1,-15.3,-10.0,+0.6,-6.0,+0.6
235,Norfolk St,-3.3,+4.0,-8.0,+4.8,-7.2,-0.8
236,Fordham,-3.3,-8.0,-11.0,+0.8,-7.7,+2.0
237,Rob Morris,-3.4,-0.3,-9.0,-3.2,-3.5,-5.8
238,TN Tech,-3.4,-3.3,-1.0,-2.6,-4.1,+0.4
239,Sacred Hrt,-3.4,-6.3,-3.0,-1.5,-4.9,-4.0
240,St Josephs,-3.5,-7.7,-7.0,-0.6,-5.9,+7.2
