153,Geo Wshgtn,1.023,1.053,0.940,1.048,0.999,1.087
154,Geo Mason,1.023,0.927,0.774,1.042,1.005,0.958
155,New Mexico,1.022,0.901,0.863,1.043,1.002,1.032
156,Lamar,1.022,0.957,0.894,1.078,0.990,0.978
157,Texas A&M,1.022,0.874,0.691,1.052,0.990,1.071
158,Arkansas St,1.021,0.982,0.962,1.083,0.983,0.954
159,Utah State,1.020,1.028,0.997,1.073,0.974,1.053
160,Citadel,1.020,1.032,0.958,1.072,0.981,1.001
161,Georgia St,1.020,0.929,0.829,1.077,0.984,0.964
162,Washington,1.019,0.912,1.066,1.071,0.963,1.033
163,Illinois St,1.019,0.998,0.959,1.032,1.007,0.966
164,Brown,1.019,1.046,1.038,1.050,0.987,0.998
165,Youngs St,1.018,1.094,1.011,1.130,0.955,0.984
166,Idaho,1.017,0.957,0.872,1.026,1.011,0.983
167,UAB,1.017,0.942,0.863,1.073,0.967,1.083
168,Cal St Nrdge,1.017,0.959,0.885,1.055,0.989,0.951
169,Providence,1.016,0.987,1.146,1.054,0.971,1.016
170,St Johns,1.014,0.977,0.970,1.061,0.981,0.892
171,St Fran (PA),1.013,0.977,1.051,1.037,0.998,1.006
172,Stony Brook,1.013,0.951,0.925,1.030,0.997,1.079
173,Minnesota,1.013,1.056,1.060,1.051,0.953,0.956
174,Wyoming,1.013,1.072,1.147,1.050,0.966,1.025
175,WI-Milwkee,1.012,0.937,0.841,1.013,1.011,1.100
176,St Peters,1.011,0.979,0.968,1.024,1.003,0.961
177,Campbell,1.011,1.138,0.982,1.065,0.966,1.040
178,Oral Roberts,1.011,1.036,1.099,1.082,0.964,1.036
179,Gard-Webb,1.010,1.069,0.920,1.005,1.013,0.988
180,Santa Clara,1.009,1.025,1.032,1.051,0.966,0.967
181,Air Force,1.008,0.962,0.857,1.082,0.931,0.943
182,Illinois,1.007,0.986,0.791,1.061,0.945,1.007
183,Drexel,1.006,0.960,0.926,0.986,1.019,0.937
184,Sac State,1.006,1.099,0.979,1.061,0.970,0.989
185,Temple,1.005,0.995,0.977,1.010,1.000,1.000
186,Charl South,1.004,1.081,0.993,1.056,0.968,0.965
187,W Kentucky,1.004,1.002,0.816,1.075,0.948,1.064
188,Tennessee,1.004,0.961,0.841,1.063,0.932,1.029
189,S Carolina,1.003,1.037,1.031,1.014,0.992,1.031
190,Miss State,1.002,1.042,0.814,1.019,0.983,1.039
191,Central Ark,1.002,1.048,0.995,1.085,0.958,0.999
192,Liberty,1.002,1.062,1.021,0.986,1.018,0.966
193,Bryant,1.002,1.076,0.986,1.048,0.967,0.920
194,Fresno St,1.002,0.913,0.832,1.049,0.968,1.025
195,F Dickinson,1.002,0.994,1.080,1.026,0.989,1.026
196,San Fransco,1.002,1.003,0.915,1.027,0.979,1.038
197,LSU,1.001,0.989,0.709,1.041,0.959,1.056
198,Charlotte,1.001,1.005,1.038,1.064,0.941,1.050
199,WI-Grn Bay,1.000,0.993,0.997,1.043,0.975,1.038
200,Boston U,0.999,0.972,0.930,1.027,0.973,1.012
201,S Utah,0.999,1.065,1.046,1.033,0.981,0.965
202,UMKC,0.999,0.969,0.908,1.039,0.967,0.994
203,LIU-Brooklyn,0.999,1.026,0.953,0.999,0.999,1.015
204,E Illinois,0.999,1.046,0.807,1.001,0.997,0.995
205,Rider,0.998,1.032,0.887,1.043,0.972,0.963
206,Florida Intl,0.998,1.081,1.093,1.041,0.965,1.027
207,New Orleans,0.997,1.051,1.016,1.028,0.978,0.972
208,Texas State,0.997,0.927,0.713,1.011,0.985,0.965
209,Stetson,0.997,0.909,0.825,1.125,0.916,1.031
210,Niagara,0.995,0.916,0.749,1.018,0.981,0.924
211,N Florida,0.993,1.071,0.911,1.060,0.956,1.126
212,San Diego St,0.993,1.020,0.947,1.022,0.973,0.996
213,Georgia,0.993,0.902,1.035,1.011,0.974,1.000
214,Wagner,0.993,1.107,1.125,1.028,0.960,1.004
215,UC Irvine,0.992,0.902,1.037,1.084,0.949,1.015
216,Grd Canyon,0.991,1.047,0.813,1.036,0.940,1.048
217,Lg Beach St,0.991,1.030,0.894,1.015,0.980,1.012
218,Columbia,0.991,0.991,1.010,0.991,0.991,1.102
219,U Penn,0.990,1.001,0.878,0.979,0.999,0.969
220,Incar Word,0.990,0.997,0.908,1.049,0.944,0.998
221,S Illinois,0.990,0.912,0.845,1.078,0.900,1.024
222,Evansville,0.989,0.981,0.965,1.029,0.953,1.045
223,Quinnipiac,0.988,0.963,0.874,1.010,0.969,0.901
224,NW State,0.988,1.131,1.257,0.990,0.987,1.000
225,Southern,0.988,0.905,0.804,1.044,0.952,0.995
226,Wash State,0.987,0.950,0.965,1.015,0.956,0.963
227,Central FL,0.987,0.895,0.784,1.013,0.961,0.971
228,Fairfield,0.987,0.972,1.082,0.992,0.984,1.014
229,IL-Chicago,0.985,0.999,0.986,0.977,0.993,0.859
230,Drake,0.985,0.937,0.795,1.051,0.920,0.976
231,High Point,0.984,0.913,0.750,0.963,1.003,1.092
232,Loyola Mymt,0.984,0.936,1.072,1.000,0.964,1.000
233,California,0.984,1.002,0.884,1.021,0.936,1.057
234,TX El Paso,0.983,0.969,0.763,0.966,0.998,1.027
235,AR Lit Rock,0.982,0.964,0.995,1.002,0.968,1.058
236,Coastal Car,0.982,0.906,0.816,1.046,0.918,1.005
237,SE Louisiana,0.982,0.964,0.896,1.066,0.925,0.970
238,Oklahoma,0.982,0.955,0.916,1.001,0.963,1.088
239,NJIT,0.982,1.022,0.865,1.041,0.952,1.030
240,TN Tech,0.982,0.969,0.969,0.975,0.987,1.067
241,Stanford,0.981,1.056,1.146,1.039,0.930,0.997
242,TN State,0.981,0.956,0.885,0.965,0.990,1.024
243,Savannah St,0.980,1.106,1.033,1.013,0.963,0.875
244,Boston Col,0.979,0.986,1.028,1.031,0.914,0.893
245,Connecticut,0.979,1.057,1.121,0.971,0.985,1.057
246,Bowling Grn,0.978,0.924,0.876,0.987,0.969,0.982
247,Alabama,0.978,1.009,0.958,1.015,0.941,0.975
248,Utah Val St,0.977,1.027,0.914,0.961,0.985,0.969
249,Old Dominion,0.976,0.944,0.911,0.987,0.967,1.056
250,Marist,0.976,1.072,1.062,1.029,0.940,1.001
251,James Mad,0.976,0.996,0.980,0.998,0.958,1.053
252,DePaul,0.975,0.905,0.910,1.044,0.886,0.967
253,Maryland ES,0.975,0.921,0.683,1.043,0.946,0.946
254,CS Fullerton,0.973,0.984,1.007,1.000,0.950,0.969
255,Cal Poly,0.972,0.853,0.777,0.975,0.970,1.021
256,Army,0.971,0.924,0.799,0.994,0.946,1.014
257,Nicholls St,0.971,1.009,0.885,1.027,0.943,0.902
258,E Kentucky,0.971,1.011,1.037,0.995,0.953,1.069
259,Mt St Marys,0.970,0.950,0.843,0.993,0.954,0.939
260,TX-Pan Am,0.970,0.909,0.864,1.012,0.944,0.929
261,Nebraska,0.969,0.884,0.887,0.987,0.951,1.045
262,N Illinois,0.969,0.968,0.990,0.994,0.944,0.986
263,Cornell,0.969,1.004,1.224,1.001,0.950,0.949
264,Sacred Hrt,0.968,0.922,0.986,0.987,0.954,0.996
265,Pepperdine,0.967,0.974,1.193,1.009,0.934,1.033
266,S Alabama,0.967,0.964,0.902,1.002,0.932,0.928
267,CS Bakersfld,0.967,1.036,0.871,1.018,0.944,1.020
268,St Josephs,0.966,0.836,0.940,1.000,0.937,1.070
269,Duquesne,0.966,0.939,1.084,0.973,0.957,1.047
270,Tulsa,0.966,0.936,0.910,1.022,0.916,1.038
271,Navy,0.966,0.823,0.928,0.982,0.952,1.022
272,San Jose St,0.964,0.888,0.863,0.969,0.958,0.930
273,U Mass,0.963,0.910,0.873,0.966,0.960,0.987
274,Idaho State,0.962,1.050,1.067,1.054,0.915,0.997
275,Colgate,0.962,1.042,1.022,0.967,0.960,1.018
276,Abl Christian,0.962,1.104,1.116,0.945,0.973,0.981
277,App State,0.961,0.951,0.958,0.973,0.952,0.965
278,Penn State,0.961,0.951,0.741,0.986,0.937,0.961
279,Beth-Cook,0.960,0.958,0.852,0.985,0.944,0.973
280,Hawaii,0.960,0.941,0.880,0.974,0.937,1.052
281,Ste F Austin,0.960,0.975,0.758,1.016,0.927,1.126
282,Dartmouth,0.959,1.008,0.756,0.987,0.937,0.984
283,Texas,0.958,0.905,0.800,1.004,0.907,1.040
284,Fla Atlantic,0.957,0.870,0.918,0.943,0.969,0.936
285,Sam Hous St,0.957,0.998,0.948,1.021,0.915,1.026
286,Holy Cross,0.957,0.963,0.742,0.988,0.933,0.964
287,Prairie View,0.956,1.082,1.220,1.091,0.885,0.855
288,W Illinois,0.956,0.993,0.844,0.994,0.928,0.983
289,Delaware,0.955,1.082,1.175,0.978,0.941,0.958
290,UC Davis,0.955,0.828,0.821,1.060,0.917,0.905
291,N Colorado,0.955,1.042,1.082,0.987,0.935,1.008
292,S Car State,0.954,1.057,1.156,0.992,0.939,1.023
293,Grambling St,0.954,1.035,0.723,1.016,0.924,0.855
294,Alcorn State,0.954,0.916,0.771,1.017,0.920,0.950
295,Binghamton,0.953,0.944,0.926,1.016,0.908,0.883
296,VA Military,0.953,0.897,0.833,0.990,0.926,0.948
297,Tulane,0.952,0.965,0.863,1.007,0.909,0.927
298,San Diego,0.952,0.922,0.882,0.937,0.968,0.888
299,Pacific,0.950,0.980,0.715,0.976,0.927,0.973
300,Missouri,0.948,1.065,1.076,0.949,0.947,0.968
301,Loyola-MD,0.948,0.883,0.815,0.974,0.929,0.986
302,Manhattan,0.947,0.954,0.981,0.989,0.915,0.968
303,LA Monroe,0.947,0.950,0.786,1.022,0.899,1.023
304,UNLV,0.946,0.813,0.706,0.958,0.929,0.994
305,Norfolk St,0.945,0.927,0.992,1.018,0.912,1.034
306,Miami (OH),0.945,0.928,0.899,0.931,0.961,0.945
307,Hartford,0.945,0.942,0.955,0.942,0.947,0.979
308,N Arizona,0.945,1.039,0.928,0.953,0.940,0.911
